Año,Semana,Fecha_Inicio_Semana,Plataforma,Score,Nuevas_Resenas
2026,0,2025-12-22,Clutch,4.9,-
2026,0,2025-12-22,Glassdoor,4.1,-
2026,0,2025-12-22,Indeed,4.0,-
2026,0,2025-12-22,TeamBlind,4.1,-
2026,0,2025-12-22,Trustpilot,4.3,-
2026,1,2025-12-29,Clutch,4.9,-
2026,1,2025-12-29,Glassdoor,4.2,2
2026,1,2025-12-29,Indeed,4.0,-
2026,1,2025-12-29,TeamBlind,4.1,-
2026,1,2025-12-29,Trustpilot,4.3,-
2026,2,2026-01-05,Clutch,4.9,-
2026,2,2026-01-05,Glassdoor,4.1,4
2026,2,2026-01-05,Indeed,4.0,-
2026,2,2026-01-05,TeamBlind,4.1,-
2026,2,2026-01-05,Trustpilot,4.3,-
2026,3,2026-01-12,Clutch,4.9,-
2026,3,2026-01-12,Glassdoor,4.1,1
2026,3,2026-01-12,Indeed,4.0,1
2026,3,2026-01-12,TeamBlind,4.1,-
2026,3,2026-01-12,Trustpilot,4.3,-
2026,4,2026-01-19,Clutch,4.9,-
2026,4,2026-01-19,Glassdoor,4.1,-
2026,4,2026-01-19,Indeed,4.0,-
2026,4,2026-01-19,TeamBlind,4.1,-
2026,4,2026-01-19,Trustpilot,4.3,-
2026,5,2026-01-26,Clutch,4.9,-
2026,5,2026-01-26,Glassdoor,4.1,4
2026,5,2026-01-26,Indeed,4.0,-
2026,5,2026-01-26,TeamBlind,4.1,-
2026,5,2026-01-26,Trustpilot,4.3,-
2026,6,2026-02-02,Clutch,4.9,-
2026,6,2026-02-02,Glassdoor,4.1,1
2026,6,2026-02-02,Indeed,4.0,-
2026,6,2026-02-02,TeamBlind,4.1,-
2026,6,2026-02-02,Trustpilot,4.3,1
2026,7,2026-02-09,Clutch,4.9,-
2026,7,2026-02-09,Glassdoor,4.1,2
2026,7,2026-02-09,Indeed,4.0,-
2026,7,2026-02-09,TeamBlind,4.1,-
2026,7,2026-02-09,Trustpilot,4.3,-
2026,8,2026-02-16,Clutch,4.9,-
2026,8,2026-02-16,Glassdoor,4.1,-
2026,8,2026-02-16,Indeed,4.0,-
2026,8,2026-02-16,TeamBlind,4.1,-
2026,8,2026-02-16,Trustpilot,4.3,-
2026,9,2026-02-23,Clutch,4.9,-
2026,9,2026-02-23,Glassdoor,4.1,3
2026,9,2026-02-23,Indeed,4.0,-
2026,9,2026-02-23,TeamBlind,4.1,-
2026,9,2026-02-23,Trustpilot,4.3,-
2026,10,2026-03-02,Clutch,4.9,-
2026,10,2026-03-02,Glassdoor,4.1,2
2026,10,2026-03-02,Indeed,4.0,-
2026,10,2026-03-02,TeamBlind,4.1,-
2026,10,2026-03-02,Trustpilot,4.3,-
2026,11,2026-03-09,Clutch,4.9,-
2026,11,2026-03-09,Glassdoor,4.2,6
2026,11,2026-03-09,Indeed,4.0,-
2026,11,2026-03-09,TeamBlind,4.1,-
2026,11,2026-03-09,Trustpilot,4.3,-
2026,12,2026-03-16,Clutch,4.9,-
2026,12,2026-03-16,Glassdoor,4.2,7
2026,12,2026-03-16,Indeed,4.0,1
2026,12,2026-03-16,TeamBlind,4.1,-
2026,12,2026-03-16,Trustpilot,4.4,1
2026,13,2026-03-23,Clutch,4.9,-
2026,13,2026-03-23,Glassdoor,4.2,1
2026,13,2026-03-23,Indeed,4.0,-
2026,13,2026-03-23,TeamBlind,4.1,-
2026,13,2026-03-23,Trustpilot,4.4,-
2026,14,2026-03-30,Clutch,4.9,-
2026,14,2026-03-30,Glassdoor,4.2,0
2026,14,2026-03-30,Indeed,4.0,-
2026,14,2026-03-30,TeamBlind,4.1,-
2026,14,2026-03-30,Trustpilot,4.4,-
2026,15,2026-04-06,Clutch,4.9,-
2026,15,2026-04-06,Glassdoor,4.2,2
2026,15,2026-04-06,Indeed,4.0,-
2026,15,2026-04-06,TeamBlind,4.1,-
2026,15,2026-04-06,Trustpilot,4.4,-
2026,16,2026-04-13,Clutch,4.9,-
2026,16,2026-04-13,Glassdoor,4.2,-
2026,16,2026-04-13,Indeed,4.0,-
2026,16,2026-04-13,TeamBlind,4.1,-
2026,16,2026-04-13,Trustpilot,4.4,-
2026,19,2026-05-04,Clutch,4.9,-
2026,19,2026-05-04,Glassdoor,4.2,-
2026,19,2026-05-04,Indeed,4.0,-
2026,19,2026-05-04,TeamBlind,4.1,-
2026,19,2026-05-04,Trustpilot,4.4,-
