Semana,Fecha_Inicio_Semana,Washington_DC,Greensboro,San_Francisco,Barcelona
0,2025-12-22,4.2,5.0,4.0,5.0
1,2025-12-29,4.2,5.0,4.0,5.0
2,2026-01-05,4.2,5.0,4.0,5.0
3,2026-01-12,4.2,5.0,4.0,5.0
4,2026-01-19,4.2,5.0,4.0,5.0
5,2026-01-26,4.2,5.0,4.0,5.0
6,2026-02-02,4.2,5.0,4.0,5.0
7,2026-02-09,4.2,5.0,4.0,5.0
8,2026-02-16,4.2,5.0,3.9,5.0
9,2026-02-23,4.2,5.0,3.9,5.0
10,2026-03-02,4.2,5.0,4.0,5.0
11,2026-03-09,4.2,5.0,4.0,5.0
12,2026-03-16,4.2,5.0,4.0,5.0
13,2026-03-23,4.2,5.0,4.0,5.0
14,2026-03-30,4.2,5.0,4.0,5.0
15,2026-04-06,4.2,5.0,4.0,5.0
16,2026-04-13,4.2,5.0,4.0,5.0
19,2026-05-04,4.2,5.0,4.0,5.0
